UUID,sector,category,activity_id,name,activity_unit,kgCO2e-AR5,kgCO2e-AR4,kgCO2,kgCH4,kgN2O,kgCO2e-OtherGHGs-AR5,kgCO2e-OtherGHGs-AR4,uncertainty,scope,lca_activity,source,dataset,year_released,year_valid_from,region,data_quality,data_accessed,description,source_link
1a63daad-aeea-42e5-85e6-e5e7a2537b72,Waste,LDPE Waste,waste-type_ldpe-disposal_method_combusted,LDPE - Combusted,short ton,not-supplied,2800.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
95800179-8a19-49ad-acbe-35dcd5242f26,Waste,PET Waste,waste-type_pet-disposal_method_combusted,PET - Combusted,short ton,not-supplied,2050.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
cb11e098-64f9-4f9b-b5d1-fca99d15849b,Waste,LLDPE Waste,waste-type_lldpe-disposal_method_combusted,LLDPE - Combusted,short ton,not-supplied,2800.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
c815a149-f76b-4d1a-bd60-9d220a3c9af9,Waste,PP Waste,waste-type_pp-disposal_method_combusted,PP - Combusted,short ton,not-supplied,2800.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
068fe44c-4f63-4142-aba6-58867e814e55,Waste,PS Waste,waste-type_ps-disposal_method_combusted,PS - Combusted,short ton,not-supplied,3020.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
34b53bdc-9bed-4440-8790-675100118017,Waste,PVC Waste,waste-type_pvc-disposal_method_combusted,PVC - Combusted,short ton,not-supplied,1260.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
781a6ff6-8992-4e8b-9f6d-65f08e644074,Waste,PLA Waste,waste-type_pla-disposal_method_combusted,PLA - Combusted,short ton,not-supplied,10.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
a61a4a58-c3ec-4379-8ef9-9bc5e7dc253a,Waste,Corrugated Containers Waste,waste-type_corrugated_containers-disposal_method_combusted,Corrugated Containers - Combusted,short ton,not-supplied,50.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
e1636b27-b648-4148-89f4-efdd621af23f,Waste,Magazines/Third-class mail Waste,waste-type_magazines/third-class_mail-disposal_method_combusted,Magazines/Third-class mail - Combusted,short ton,not-supplied,50.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
4244a6db-377a-4665-a2a4-e16f8430b787,Waste,Newspaper Waste,waste-type_newspaper-disposal_method_combusted,Newspaper - Combusted,short ton,not-supplied,50.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
